ref,file,cat,w,h,date,desc,src
1,ref_001_rotunda_Bottom_view_Palace_of_Fine_Arts_San_Francisco_2013.jpg,rotunda,3246,4913,2013-09-18,Bottom view of Palace of Fine Arts in San Francisco,https://commons.wikimedia.org/wiki/File%3ABottom%20view%20Palace%20of%20Fine%20Arts%20San%20Francisco%202013.jpg
2,ref_002_rotunda_Corinthian_Order_Capital.jpg,rotunda,2128,2838,2013-01-01,"




This is an image of a place or building that is listed on the National Register of Historic Places in the United States of America. Its reference number is 04000659 (Wikidata).


Corinthian order",https://commons.wikimedia.org/wiki/File%3ACorinthian-Order-Capital.jpg
3,ref_003_rotunda_Cupola_Palace_of_Fine_Arts_San_Francisco_2013.jpg,rotunda,4725,2910,2013-09-18,Cupola of Palace of Fine Arts in San Francisco,https://commons.wikimedia.org/wiki/File%3ACupola%20Palace%20of%20Fine%20Arts%20San%20Francisco%202013.jpg
4,ref_004_rotunda_Heritage_Art_museum.jpg,rotunda,3935,2898,2016-08-15,Heritage art museum in San Francisco.,https://commons.wikimedia.org/wiki/File%3AHeritage%20Art%20museum.jpg
5,ref_005_rotunda_Illuminated_Palace_of_Fine_Arts_at_night.jpg,rotunda,2448,3264,2016-03-31,"Palace of Fine Arts in San Francisco, California against the night sky.",https://commons.wikimedia.org/wiki/File%3AIlluminated%20Palace%20of%20Fine%20Arts%20at%20night.jpg
6,ref_006_rotunda_Palace_Of_Fine_Arts_130996431.jpg,rotunda,1365,2048,17 Decembe,"
500px provided description: Palace Of Fine Arts [#landscape ,#city ,#beauty ,#sunset ,#street ,#travel ,#night ,#light ,#tourism ,#urban ,#architecture ,#cityscape ,#building ,#beautiful ,#california",https://commons.wikimedia.org/wiki/File%3APalace%20Of%20Fine%20Arts%20%28130996431%29.jpeg
7,ref_007_rotunda_Palace_of_Fine_Arts_Rostra.jpg,rotunda,2448,3264,2009-07-14,"The Palace of the Fine Arts in San Francisco. Architecture resembles the Ancient Roman ""Rostra"" of the Republican era.",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20%22Rostra%22.jpg
8,ref_008_rotunda_Palace_of_Fine_Arts_10964389296.jpg,rotunda,3933,5899,2013-11-09,"Place of Fine Arts was originally built for Panama–Pacific International Exposition in 1915. And is located north part of San Francisco.
Palace of Fine Artsに対応する日本語名称が見当たりませんでしたが、「素晴らしい芸術作品の宮殿」って意味ですね",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20%2810964389296%29.jpg
9,ref_009_rotunda_Palace_of_Fine_Arts_San_Francisco.jpg,rotunda,3648,5472,2015-09-23,Hauptgebäude des Palace of Fine Arts in San Francisco,https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20%28San%20Francisco%29.JPG
10,ref_010_rotunda_Palace_of_Fine_Arts_Interior_rotunda_dome.jpg,rotunda,2270,1702,2 February,"Palace of Fine Arts at night, January 30, 2010. By Dan Martin.",https://commons.wikimedia.org/wiki/File%3APalace%20of%20Fine%20Arts%20-%20Interior%20rotunda%20dome.jpg
